,date,count(id),sum(case when package_status='delivered' then 1 else 0 end)
242,2019-01-27,57,50
243,2019-01-28,496,481
244,2019-01-29,284,275
245,2019-01-30,268,254
246,2019-01-31,226,216
247,2019-02-01,213,205
248,2019-02-02,82,80
249,2019-02-03,27,25
250,2019-02-04,219,206
251,2019-02-05,5,5
252,2019-02-06,12,12
253,2019-02-07,291,285
254,2019-02-08,327,320
255,2019-02-09,189,188
256,2019-02-10,145,142
257,2019-02-11,564,546
258,2019-02-12,346,324
259,2019-02-13,373,352
260,2019-02-14,384,359
261,2019-02-15,331,304
262,2019-02-16,167,157
263,2019-02-17,90,75
264,2019-02-18,534,503
265,2019-02-19,339,321
266,2019-02-20,380,350
267,2019-02-21,328,309
268,2019-02-22,338,305
269,2019-02-23,207,194
270,2019-02-24,80,65
271,2019-02-25,621,573
272,2019-02-26,384,353
273,2019-02-27,388,372
274,2019-02-28,385,372
275,2019-03-01,338,330
276,2019-03-02,205,205
277,2019-03-03,91,85
278,2019-03-04,797,784
279,2019-03-05,515,507
280,2019-03-06,428,419
281,2019-03-07,377,366
282,2019-03-08,391,382
283,2019-03-09,195,188
284,2019-03-10,81,79
285,2019-03-11,570,550
286,2019-03-12,435,425
287,2019-03-13,402,392
288,2019-03-14,338,334
289,2019-03-15,295,288
290,2019-03-16,156,155
291,2019-03-17,75,73
292,2019-03-18,630,621
293,2019-03-19,431,418
294,2019-03-20,338,334
295,2019-03-21,342,325
296,2019-03-22,353,326
297,2019-03-23,323,284
298,2019-03-24,147,129
299,2019-03-25,996,903
300,2019-03-26,567,504
301,2019-03-27,4127,3811
302,2019-03-28,3126,2805
303,2019-03-29,1187,1087
304,2019-03-30,445,392
305,2019-03-31,196,181
306,2019-04-01,1265,1135
307,2019-04-02,882,820
308,2019-04-03,712,643
309,2019-04-04,835,766
310,2019-04-05,578,530
311,2019-04-06,303,278
312,2019-04-07,191,174
313,2019-04-08,1181,1092
314,2019-04-09,534,505
315,2019-04-10,328,314
316,2019-04-11,274,264
317,2019-04-12,234,225
318,2019-04-13,175,173
319,2019-04-14,27,26
320,2019-04-15,467,451
321,2019-04-16,280,275
322,2019-04-17,232,228
323,2019-04-18,253,246
324,2019-04-19,239,233
325,2019-04-20,153,148
